id,símbolo,nombre,precio_usd,market_cap_usd,volumen_24h_usd,variación_24h_pct
aelin,aelin,Aelin,341.81,0.0,34.07,
aave-v3-stg,astg,Aave v3 STG,0.156939,0.0,0.0,1.53127
aave-zrx-v1,azrx,Aave ZRX v1,0.223862,0.0,0.0,2.60107
aave-v3-dai,adai,Aave v3 DAI,0.999904,0.0,823.35,-0.00309
accumulated-finance-staked-zeta,stzeta,Accumulated Finance Staked ZETA,0.178018,0.0,154.53,0.0633
aave-amm-unidaiweth,aammunidaiweth,Aave AMM UniDAIWETH,208.09,0.0,0.0,1.65508
agii,agii,AGII,2.26e-05,0.0,157548.0,-1.43283
aave-v3-eurs,aeurs,Aave v3 EURS,1.18,0.0,0.0,0.52481
aave-susd,asusd,Aave SUSD,0.939366,0.0,3.04,0.19599
aave-v3-wsteth,awsteth,Aave v3 wstETH,3037.22,0.0,0.0,3.37497
ai-code,aicode,AI CODE,0.174135,0.0,58392.0,2.96682
aave-v3-mkr,amkr,Aave v3 MKR,1972.15,0.0,0.0,-0.20145
ainu-token,ainu,Ainu,4.41113e-13,0.0,2.64,1.08214
aave-eth-v1,aeth,Aave ETH v1,,0.0,0.0,
aihub,aih,AIHub,39.81,0.0,108843.0,-11.82662
afrostar,afro,Afrostar,4.337e-09,0.0,390.4,0.72731
addon-ai,addon,AddOn Ai,0.00063084,0.0,7.78,
active-token,active,Active Token,0.00048409,0.0,31.96,2.60288
aiakita,aia,AiAkita,7.1631e-14,0.0,1084.94,
aave-v3-snx,asnx,Aave v3 SNX,0.588285,0.0,0.0,-0.38868
2moon,moon,2MOON,1.49e-06,0.0,97.85,24.37518
airnft-token,airt,AirNFT,0.00017103,0.0,301.29,1.22367
aave-wbtc,awbtc,Aave WBTC,109028.0,0.0,0.0,1.28728
aave-amm-uniwbtcweth,aammuniwbtcweth,Aave AMM UniWBTCWETH,4322514274.0,0.0,0.0,2.3223
aevum-ore,aevum,Aevum,0.00494354,0.0,2.24,0.03922
airtok-2,airtok,Airtok,4.417e-05,0.0,24.77,1.74986
adaswap,asw,AdaSwap,1.2e-06,0.0,2597.69,
able-finance,able,Able Finance,3.92066e-13,0.0,0.0,0.0
ajuna-network-2,ajun,Ajuna Network,0.00129729,0.0,73.27,0.0772
aave-v3-ghst,aghst,Aave v3 GHST,0.372177,0.0,0.0,2.27607
aave-v3-ldo,aldo,Aave v3 LDO,0.759461,0.0,0.0,4.9125
aave-yvault,yvaave,Aave yVault,297.17,0.0,0.0,3.37154
5mc,5mc,5mc,0.00155875,0.0,39181.0,-7.50213
4444-token,4444,4444,3.991e-05,0.0,529.08,-3.8311
add-finance,add,Add Finance,1.775e-05,0.0,15.09,
8-bit-coin,coin,8-Bit Coin,7.174e-05,0.0,204.69,1.16861
404ver,top,404ver,0.00052427,0.0,11.09,
aave-v3-uni,auni,Aave v3 UNI,7.28,0.0,0.0,1.10454
aave-polygon-usdc,amusdc,Aave Polygon USDC,1.001,0.0,248275.0,0.13439
aave-polygon-aave,amaave,Aave Polygon AAVE,284.51,0.0,0.0,3.49975
akitavax,akitax,Akitavax,1.14e-06,0.0,5.01,0.20305
angryb,anb,Angryb,6.32181e-07,0.0,600.68,-0.00596
3-kingdoms-multiverse,3km,3 Kingdoms Multiverse,8.91e-06,0.0,6664.3,
advanced-united-continent,auc,Advanced United Continent,0.0003121,0.0,130893.0,49.98266
ageofgods,aog,AgeOfGods,0.00148259,0.0,215710.0,-0.36287
airbtc,airbtc,AirBTC,6.0004e-08,0.0,77.78,-7.70174
aptos-launch-token,alt,AptosLaunch Token,0.00194035,0.0,91780.0,-14.11681
1rus-btc25,@btc25,@BTC25,4.13542e-10,0.0,1134.68,-5.43864
all-street-bets,bets,All Street Bets,1.131e-05,0.0,35262.0,-0.81777
0xnumber,oxn,0xNumber,0.00292507,0.0,29.15,
